,K00008,K00010,K00012,K00067,K00287,K00297,K00320,K00390,K00463,K00472,K00568,K00615,K00621,K00655,K00657,K00677,K00763,K00820,K00858,K00859,K00952,K00954,K00969,K00979,K01495,K01627,K01654,K01710,K01711,K01784,K01790,K01791,K01845,K01854,K01858,K01912,K01916,K01950,K01953,K01990,K02078,K02169,K02293,K02446,K02473,K02536,K02843,K03183,K03271,K03273,K03274,K03462,K04042,K04103,K06041,K06167,K06217,K06859,K07260,K08281,K11003,K13010,K13018,K13522,K15634,K15894,K15899,K16011,K18062,K18981,K21029,K22227
KW1S05,11.225412,0.25879875,0.463321794,16.73282182,1.37853143,675.013334,35.37087,52.18318175,0,1.957455906,80.6411226,45.292824,0.3343831,0.5445768,0,0,11.4446351,5.07031577,30.3381827,0.5445768,38.094722,0.5445768,3.0810818,0.057236157,0.225307402,0.04381059,0.25879875,0.03347266,18.65818162,0.71832037,0.10004072,0.17125057,0.25879875,0,0.00990182,0,8.9133091,0,0.00990182,0.010888283,117.53346,4.0159063,0.3975426,0,0.38393727,0,27.052034,80.23308,0.15620576,0,0,121.1135891,0.3343831,0,32.568623,0.023004005,49.59458442,0,1.2217704,7.1735525,3.3236396,0,0,125.9504843,9.849185,0.25879875,109.905278,0.7125077,58.704357,3.8793337,1.2217704,0
KW1S08,3.7410774,43.24309884,165.108028,38.72264705,2.67743689,952.58851,35.64068,0.17918411,0,0.775451384,165.08858,68.57576,178.00905,0.22622524,0,0,73.5124957,0.5748521,27.2780511,0.22622524,32.799134,0.22622524,2.5376519,0.05181138,129.1302952,0.05181138,0.34431884,0.059378274,1.64481617,180.5476178,0.06654959,0.11269521,0.34431884,0,0,0,70.5435117,0,0,0,9.0522196,0.69189453,165.08858,0,2.5385678,0,46.374348,0,0,0,0,89.76231871,178.00905,0,25.466995,0.008161515,29.99322877,0,0,70.66958498,0.15515566,0,0,6.53004251,66.66638,0.34431884,32.384919,2.4006402,0,7.4387772,0,42.89878
KW1S11,7.976036,1.6018831,0.18474545,19.3281632,2.37744332,2045.30374,62.04983,0.497546807,0,1.372957,0.09831099,194.9138,0.09359626,0.1505015,0,0,27.18793674,0.841540677,39.8531279,0.1505015,40.977907,0.1505015,3.627832,0.42511395,0.79065678,0.42511395,0.8004582,0,3.371885107,2.06219316,0,0.050253678,0.8004582,0,0.03603069,0,26.9152434,0,0.03603069,0.13206741,12.0180624,89.30786,0.09831099,0,1.9685969,0,77.049164,0,0,0,0,180.8885893,0.09359626,0,37.0904,0.008370684,54.94180469,0,2.5933669,25.697376,0.08464891,0,0,110.7884086,27.965405,0.8004582,29.931688,2.4099646,0,1.04391399,2.5933669,0.8014249
KW1S15,15.015496,1.10107085,0.269866475,1.2171618,5.81927333,576.852774,47.096596,0.023548381,0,82.71281048,0.254123133,59.075478,0.19669071,0.052712657,0,0,104.494934,0.778790465,63.482439,0.052712657,30.020613,0.052712657,8.149616,0.08375332,39.54923868,0.08375332,0.8905485,0.54391634,2.6501225,3.56631791,0,0.0950464,0.8905485,0,0.037858896,0,35.200014,0,0.037858896,85.60979,45.49302365,0.30377668,0.21397714,0,3.3696272,0,45.79195,0,0,0,0,355.7249034,0.19669071,0,32.375248,0.008795415,36.77564781,0,33.617043,31.62912662,312.268974,0,0.024020657,7.851519992,34.757248,0.8905485,30.383155,4.113758,0,84.768477,33.617043,0.21052235
KW1S21,6.3498683,0.50397635,1.227908366,36.08080239,1.91001578,914.0753,46.14921,0.020935375,0,3.07826418,1.141526815,69.67539,1.2021544,0.0878658,0,0,23.97512234,52.21439358,32.5898906,0.0878658,37.710636,0.0878658,2.05314894,0.1551188,0.72737866,0.1551188,0.50397635,0.035554685,3.83978661,2.4441469,0.02656583,0.08214949,0.50397635,0,0.01051772,0,23.12195294,0,0.01051772,0.20046937,8.702519,1.6878662,1.1192206,0,1.2419925,0,48.117546,0,0,0,0,93.35398397,1.2021544,0,41.06456,0,217.925938,0,0.18539505,22.9949343,0.16516359,0,0,11.12750477,21.451994,0.50397635,45.972494,1.396827,0,1.20119023,0.18539505,0
KW12,5.7743473,0.33670905,0.054780707,23.63738135,0.509492405,596.133054,26.758787,0,0,0.16074403,0.054780707,25.807009,0.045634378,0.04891963,0,0,20.76139715,0.59683906,20.270445,0.04891963,26.746009,0.04891963,0.66174257,0.15545341,0,0.15545341,0.33670905,0.23754255,1.67776122,0.664873978,0,0.07840639,0.33670905,0,0,0,20.661396,0,0,0,9.381059,14.352184,0.054780707,0,0.6192396,0,9.773417,0,0,0.04683167,0,48.33289355,0.045634378,0,22.398048,0,19.2625933,0,0.20643887,20.74559364,0,0,0,6.1249526,24.887161,0.33670905,10.5124663,0.66174257,0,0.13228357,0.20643887,0
KW23,5.318854,0.28195336,0.11353383,20.24011737,0.512024197,698.85204,22.992533,0,0,0.34362961,0.11353383,27.37642,0.042034637,0,0,0,49.703001,0.7844744,19.74313327,0,19.1551385,0,0.5313963,0.23865151,0.12678063,0.23865151,0.28195336,0.21880467,0.6005769,0.555387987,0,0,0.28195336,0,0,0,47.107094,0,0,0,1.8516558,11.661976,0.11353383,0,0.51335335,0,14.629011,0,0,0,0,47.5763752,0.042034637,0,20.63124,0,20.24003823,0,0.19015452,47.107094,0,0,0,7.3035457,50.72546,0.28195336,10.7106887,0.5313963,0,0.14621851,0.19015452,0
KW34,6.7946734,0.35298306,0.11844607,15.00420887,0.35656083,676.42845,22.548101,0.10080849,0,0.4080538,0.11844607,31.734339,0,0.14103113,0,0,9.46181623,0.5923324,16.72481735,0.14103113,25.490336,0.14103113,0.37502727,0.19918174,0.149002634,0.19918174,0.35298306,0,2.357623486,0.144988649,0,0.037673153,0.35298306,0.025974319,0,0,9.025006,0,0,0,3.1205528,14.5309,0.11844607,0,0.11901433,0,7.8825507,0,0,0,0,65.8349746,0,0,18.006365,0,24.564038,0.025974319,0,9.025006,0,0,0,5.8460185,10.007343,0.35298306,16.1612125,0.37502727,0,0.27966565,0,0
KW45,0.913637,0.013184283,0.005898778,1.4275959,0.159815,244.520096,5.762764,0,0,0.106071699,0.005898778,9.377123,0,0.042141266,0,0,0.887337555,0.422836546,2.9944732,0.042141266,2.3548204,0.042141266,0.029233372,0.4686976,0.11856653,0.4686976,0.013184283,0,0.57158628,0.11252784,0,0.033771154,0.013184283,0.011642013,0,0,0.80902404,0,0,0,0.13320673,1.4350523,0.005898778,0,0.106687404,0,3.5330572,0,0,0,0,2.47098305,0,0,2.8904283,0,4.323234666,0.005840436,0,0.88155515,0,0,0,2.044674658,0,0.013184283,1.8781062,0.029233372,0,0.06837252,0,0
KW56,1.2273407,0.1449098,0.006483407,1.5928591,0.06587036,369.643264,8.2719,0.057937207,0,0.285319034,0.006483407,11.696131,0,0,0,0,2.307259714,1.3436918,2.335197914,0,1.59196993,0,0.223049434,0.53968126,0,0.53968126,0.1449098,0,0.52262156,0.1172612,0,0,0.1449098,0,0,0,1.945743984,0,0,0,0.048802957,1.6743441,0.006483407,0,0.1172612,0,2.3134072,0,0,0,0,11.81518727,0,0,2.8468318,0,2.2882473,0,0,1.87917992,0,0,0,0.892131436,1.3369398,0.1449098,1.8259349,0.13655545,0,0.08767375,0,0
