,A5S03,A5S04,A502N,A502S,A505S,A506N,A506S,A509N,A509S,KW01,KW1S05,KW1S08,KW1S11,KW1S15,KW1S21,KW12,KW23,KW34,KW45,KW56,KW67,KW78,KW89,KW101N,KW101S,KW910,PRZ12,PRZ23,PRZ34,PRZ45,PRZ56,PRZ67,PRZ78,PRZ89,PRZ910,PRZ1015,PRZ1520,WS01,WS12,WS23,WS34,WS45,WS56,WS67,WS78,WS89,WS910,WS1015,WS1520
KW1S15_k141_6544299_flag=1_multi=6.0000_len=13081_vibrant_13081,0.09460143,0.6603315,0,0.2822674,0.29177105,0,0.7244456,0,1.6924845,0.76982945,1.1587719,1.9033186,0.46850365,29.782677,21.927334,0.45685312,0.2805437,1.1707276,0,0,0,0.06898998,0,0,0.3654004,0,1.3566977,1.2316638,0.11882497,0.052352242,0.08035453,0,0,0,0,0,0,0,0.08010432,0.02757196,0.097066805,0,0.26051247,0,0,0,0,0,0
KW1S15_k141_10293602_flag=1_multi=5.0000_len=12722_vibrant_12722,0.06484731,0.18517235,0,0.81265134,0,0,2.2346654,0,0,0,0.08825711,0.23484337,0,31.761982,0,0,0,0,0,0,0,0,0,0,4.1328273,0,0,0.10553499,0.030544518,0,0.605895,0,0,0,0,0,0,0,3.2122257,0,0,0,0,0,0,0,0,0,0
KW1S15_k141_723740_flag=1_multi=6.3290_len=11574_vibrant_11574,0,0,0,0,0,0,0,0,0,0,0,0,71.48324,25.824968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KW1S15_k141_6897932_flag=1_multi=7.0000_len=12881_vibrant_12881,0,0,0,0,0,0,0,0,1.8750144,0.5863368,0.043583848,0,0,34.03616,1.8054967,0.9278931,0.28489962,1.1889052,0,0,0,0,0,0,0,0,0,0.15634844,0.1810049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KW1S15_k141_9132523_flag=1_multi=5.7870_len=18304_vibrant_18304,8.811465,9.3738,0,6.7778955,8.340596,0,6.4715853,0,16.053873,10.17797,28.34008,18.798122,31.751842,21.548119,19.026047,10.338889,10.626038,12.759117,3.0000236,1.4425933,0.6527926,1.1832926,0.16102055,0,8.269254,0,7.1563315,4.9511905,1.8469788,0.07482732,0.68910676,0.07988674,0,0.08629265,0,0,0,7.0664926,6.8123636,2.1477764,5.0292554,3.013685,1.5307797,0,0,0,1.2584062,0.32290858,0.10005166
KW1S15_k141_3704993_flag=1_multi=8.0000_len=34412_vibrant_34412,0.22775142,0.011409598,0,1.4163339,0.02218213,0,0,0,0,0.07315863,3.915403,0.057880532,0.4155476,47.546173,0,0,0.21328561,1.1681973,0.24933359,0.054809015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28913233,0.09134993,0,0.018448954,0,0,0,0,0,0,0,0
KW1S21_k141_4061720_flag=1_multi=6.0000_len=10540_vibrant_10540,1.7611214,0,0,0,0,0,0,0,7.2563124,0,3.408902,0,0,0,41.867092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KW1S21_k141_3567524_flag=1_multi=8.7942_len=34414_vibrant_34414,1.5102637,2.3844676,0,1.2660431,3.060956,0.19144858,1.4686228,0.05021998,1.9299753,0.65838933,3.2300196,1.6929072,1.6027334,3.2745543,55.449356,0.6367278,0.74645627,0.55625206,0,0.027402915,0.02042383,0,0,0,1.8518829,0,0.19645342,0.09753415,0.06774929,0,0.02036221,0,0,0,0,0,0,1.6383213,0.4262749,0.20960584,0.31361398,0.3166239,0.07701758,0,0,0,0.1115528,0.019083057,0
KW1S21_k141_7195401_flag=3_multi=134.0034_len=40117_vibrant_40117,0.041129075,0,0,0,0,0,0.039370142,0,0,0,0.22390647,0.08688645,0.15276557,0.08025847,691.81335,0,0,0,0,0.047014676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KW1S21_k141_1095615_flag=1_multi=10.7828_len=11403_vibrant_11403,13.2397375,25.720638,0,20.464426,10.844486,0,18.560135,0,50.480057,40.843983,37.02319,36.855793,41.114613,32.659416,43.457386,30.746086,30.412642,29.042486,3.3859775,3.225354,0.6163866,3.3239698,0.3661642,0,40.519825,0,4.9654713,3.7677555,2.1128137,0.030028047,0.39944252,0,0,0,0,0,0,0.29084808,12.221638,7.4961414,15.255032,5.9722743,4.847979,0,0.36146098,0,0.8977703,0.63351464,0.04015052
KW1S21_k141_5120413_flag=1_multi=8.0000_len=49776_vibrant_49776,0.082870014,0.20508486,0,0.044507466,0,0,0.22211275,0,0.3639112,0.15173183,0.19173616,0.16005987,0.020520251,0.08624582,56.701977,1.1205579,0.9584397,2.8843505,0.13789888,0,0,0,0,0,0,0,0.27164692,0.06743291,0.015613442,0,0,0,0,0,0,0,0,0.5330345,0.105256006,0.45648772,2.0152028,0.123134956,0.07606888,0,0,0,0.33420867,0,0.045989677
KW1S21_k141_6598465_flag=1_multi=12.9678_len=15787_vibrant_15787,43.295254,46.979954,0,34.84884,48.351894,0.404296,54.32449,0.07754427,81.46558,49.275875,66.7838,83.4589,135.80492,93.918106,99.45645,39.368717,35.21717,30.920563,10.054555,9.318734,3.6507878,0.8003047,2.2869878,0.04163055,64.893326,0.40780604,17.986408,11.311075,6.9166427,2.2340033,2.1527925,0.5866154,0,0,0,0,0,68.27615,16.659845,8.635764,10.49597,11.776654,6.044048,0,0.21757035,0,5.430872,3.9103112,0.43501273
